Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,25,5,1517,1510,1530,1515,WN,1047,N409WN,73,65,51,15,7,PHX,SAN,304,3,19,0,,0,7,0,8,0,0
2008,1,25,5,902,905,907,915,WN,1116,N403WN,65,70,54,-8,-3,PHX,SAN,304,2,9,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,2020,2020,2023,2025,WN,1280,N734SA,63,65,52,-2,0,PHX,SAN,304,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1722,1725,1726,1730,WN,1374,N219WN,64,65,50,-4,-3,PHX,SAN,304,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1241,1155,1251,1205,WN,1594,N679AA,70,70,51,46,46,PHX,SAN,304,3,16,0,,0,15,0,0,0,31
2008,1,25,5,2222,2145,2224,2150,WN,1612,N677AA,62,65,50,34,37,PHX,SAN,304,2,10,0,,0,5,0,0,0,29
2008,1,25,5,2018,1935,2020,1940,WN,2033,N315SW,62,65,50,40,43,PHX,SAN,304,4,8,0,,0,40,0,0,0,0
2008,1,25,5,642,630,648,640,WN,2203,N305SW,66,70,53,8,12,PHX,SAN,304,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1016,1015,1101,1030,WN,2540,N502SW,105,75,59,31,1,PHX,SAN,304,4,42,0,,0,0,0,31,0,0
2008,1,25,5,1331,1330,1330,1335,WN,2637,N458WN,59,65,47,-5,1,PHX,SAN,304,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,646,650,816,830,WN,12,N601WN,150,160,138,-14,-4,MCO,HOU,848,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1414,1415,1551,1555,WN,42,N239WN,157,160,143,-4,-1,MCO,HOU,848,3,11,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,2127,2115,2250,2255,WN,637,N345SA,143,160,130,-5,12,MCO,HOU,848,2,11,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1752,1750,1930,1930,WN,973,N734SA,158,160,139,0,2,MCO,HOU,848,3,16,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1006,1005,1141,1145,WN,2985,N201LV,155,160,136,-4,1,MCO,HOU,848,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1007,1010,1200,1215,WN,553,N450WN,113,125,95,-15,-3,MCO,IAD,758,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1950,1935,2332,2257,XE,7676,N11181,162,142,105,35,15,SLC,OKC,866,5,52,0,,0,0,0,20,0,15
2008,1,25,5,2204,1935,106,2257,XE,7676,N11181,122,142,101,129,149,SLC,OKC,866,4,17,0,,0,0,0,0,0,129
2008,1,26,6,1933,1935,2234,2257,XE,7676,N16170,121,142,101,-23,-2,SLC,OKC,866,4,16,0,,0,NA,NA,NA,NA,NA
2008,1,27,7,2047,1935,2400,2257,XE,7676,N12167,133,142,109,63,72,SLC,OKC,866,6,18,0,,0,23,0,0,0,40
2008,1,28,1,1956,1935,2308,2257,XE,7676,N16170,132,142,102,11,21,SLC,OKC,866,5,25,0,,0,NA,NA,NA,NA,NA
2008,1,29,2,1938,1935,2308,2257,XE,7676,N11176,150,142,104,11,3,SLC,OKC,866,5,41,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,1653,1500,1744,1542,XE,7674,N14180,111,102,89,122,113,SLC,ONT,558,6,16,0,,0,0,113,9,0,0
2008,1,22,2,1716,1500,1810,1542,XE,7674,N16170,114,102,91,148,136,SLC,ONT,558,5,18,0,,0,0,0,12,0,136
2008,1,23,3,1504,1500,1553,1542,XE,7674,N12167,109,102,87,11,4,SLC,ONT,558,4,18,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1458,1500,1552,1542,XE,7674,N12167,114,102,92,10,-2,SLC,ONT,558,5,17,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1518,1500,1610,1542,XE,7674,N11176,112,102,87,28,18,SLC,ONT,558,4,21,0,,0,0,0,10,0,18
2008,1,26,6,1457,1500,1547,1542,XE,7674,N12167,110,102,89,5,-3,SLC,ONT,558,4,17,0,,0,NA,NA,NA,NA,NA
2008,1,27,7,1515,1500,1620,1542,XE,7674,N12167,125,102,107,38,15,SLC,ONT,558,6,12,0,,0,15,0,23,0,0
2008,1,28,1,1709,1500,1756,1542,XE,7674,N12569,107,102,86,134,129,SLC,ONT,558,4,17,0,,0,0,0,5,0,129
2008,1,29,2,1503,1500,1552,1542,XE,7674,N12167,109,102,86,10,3,SLC,ONT,558,5,18,0,,0,NA,NA,NA,NA,NA
2008,1,30,3,1456,1500,1532,1542,XE,7674,N14180,96,102,75,-10,-4,SLC,ONT,558,4,17,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1527,1530,1805,1820,XE,7676,N17169,98,110,83,-15,-3,PDX,SLC,630,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,7,1,1533,1530,1806,1820,XE,7676,N33182,93,110,82,-14,3,PDX,SLC,630,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,1528,1530,1814,1820,XE,7676,N33182,106,110,82,-6,-2,PDX,SLC,630,7,17,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1601,1530,1829,1820,XE,7676,N11181,88,110,77,9,31,PDX,SLC,630,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,1526,1530,1755,1820,XE,7676,N33182,89,110,78,-25,-4,PDX,SLC,630,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,1523,1530,1809,1820,XE,7676,N14180,106,110,81,-11,-7,PDX,SLC,630,8,17,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1521,1530,1757,1820,XE,7676,N14180,96,110,80,-23,-9,PDX,SLC,630,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,1524,1530,1818,1820,XE,7676,N11176,114,110,92,-2,-6,PDX,SLC,630,6,16,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1522,1530,1804,1820,XE,7676,N33182,102,110,83,-16,-8,PDX,SLC,630,8,11,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1528,1530,1811,1820,XE,7676,N14180,103,110,85,-9,-2,PDX,SLC,630,8,10,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1524,1530,1807,1820,XE,7676,N12167,103,110,89,-13,-6,PDX,SLC,630,6,8,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1550,1530,1851,1820,XE,7676,N11176,121,110,107,31,20,PDX,SLC,630,6,8,0,,0,0,0,11,0,20
2008,1,18,5,1535,1530,1824,1820,XE,7676,N11181,109,110,85,4,5,PDX,SLC,630,11,13,0,,0,NA,NA,NA,NA,NA
2008,1,19,6,1525,1530,1800,1820,XE,7676,N12167,95,110,80,-20,-5,PDX,SLC,630,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1523,1530,1803,1820,XE,7676,N14180,100,110,87,-17,-7,PDX,SLC,630,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,1658,1530,1958,1820,XE,7676,N33182,120,110,102,98,88,PDX,SLC,630,11,7,0,,0,0,0,10,0,88
2008,1,22,2,1524,1530,1809,1820,XE,7676,N33182,105,110,90,-11,-6,PDX,SLC,630,8,7,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,1522,1530,1819,1820,XE,7676,N33182,117,110,101,-1,-8,PDX,SLC,630,8,8,0,,0,NA,NA,NA,NA,NA
2008,1,31,4,1623,1530,1903,1820,XE,7676,N11176,100,110,84,43,53,PDX,SLC,630,5,11,0,,0,43,0,0,0,0
2008,1,7,1,1934,1935,2244,2257,XE,7676,N11176,130,142,111,-13,-1,SLC,OKC,866,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,8,2,1927,1935,2231,2257,XE,7676,N33182,124,142,105,-26,-8,SLC,OKC,866,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1935,1935,2238,2257,XE,7676,N11181,123,142,105,-19,0,SLC,OKC,866,6,12,0,,0,NA,NA,NA,NA,NA
2008,1,10,4,1937,1935,2301,2257,XE,7676,N33182,144,142,115,4,2,SLC,OKC,866,4,25,0,,0,NA,NA,NA,NA,NA
2008,1,11,5,1931,1935,2242,2257,XE,7676,N14180,131,142,107,-15,-4,SLC,OKC,866,5,19,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1930,1935,2233,2257,XE,7676,N33182,123,142,109,-24,-5,SLC,OKC,866,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,2006,1935,2326,2257,XE,7676,N33182,140,142,110,29,31,SLC,OKC,866,6,24,0,,0,0,0,0,0,29
2008,1,14,1,1945,1935,2331,2257,XE,7676,N14180,166,142,121,34,10,SLC,OKC,866,7,38,0,,0,10,0,24,0,0
2008,1,15,2,1933,1935,2301,2257,XE,7676,N11181,148,142,109,4,-2,SLC,OKC,866,4,35,0,,0,NA,NA,NA,NA,NA
2008,1,16,3,1940,1935,2333,2257,XE,7676,N11181,173,142,121,36,5,SLC,OKC,866,5,47,0,,0,0,0,36,0,0
2008,1,17,4,2004,1935,2313,2257,XE,7676,N12167,129,142,110,16,29,SLC,OKC,866,5,14,0,,0,0,0,0,0,16
2008,1,18,5,2016,1935,2344,2257,XE,7676,N14180,148,142,109,47,41,SLC,OKC,866,4,35,0,,0,11,0,6,0,30
2008,1,19,6,1931,1935,2250,2257,XE,7676,N11181,139,142,112,-7,-4,SLC,OKC,866,4,23,0,,0,NA,NA,NA,NA,NA
2008,1,20,7,1927,1935,2257,2257,XE,7676,N14180,150,142,108,0,-8,SLC,OKC,866,5,37,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,NA,1935,NA,2257,XE,7676,,NA,142,NA,NA,NA,SLC,OKC,866,NA,NA,1,A,0,NA,NA,NA,NA,NA
2008,1,22,2,1949,1935,2256,2257,XE,7676,N12167,127,142,105,-1,14,SLC,OKC,866,4,18,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,1944,1935,2257,2257,XE,7676,N11176,133,142,106,0,9,SLC,OKC,866,6,21,0,,0,NA,NA,NA,NA,NA
2008,1,24,4,1950,1935,2332,2257,XE,7676,N11181,162,142,105,35,15,SLC,OKC,866,5,52,0,,0,0,0,20,0,15
2008,1,25,5,2204,1935,106,2257,XE,7676,N11181,122,142,101,129,149,SLC,OKC,866,4,17,0,,0,0,0,0,0,129
2008,1,26,6,1933,1935,2234,2257,XE,7676,N16170,121,142,101,-23,-2,SLC,OKC,866,4,16,0,,0,NA,NA,NA,NA,NA
2008,1,27,7,2047,1935,2400,2257,XE,7676,N12167,133,142,109,63,72,SLC,OKC,866,6,18,0,,0,23,0,0,0,40
2008,1,28,1,1956,1935,2308,2257,XE,7676,N16170,132,142,102,11,21,SLC,OKC,866,5,25,0,,0,NA,NA,NA,NA,NA
2008,1,29,2,1938,1935,2308,2257,XE,7676,N11176,150,142,104,11,3,SLC,OKC,866,5,41,0,,0,NA,NA,NA,NA,NA
